epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,49,0.8762500286102295,95.6014404296875,,
0,,99,0.8707593083381653,29.303607940673828,,
0,,149,0.9251968860626221,4.8029046058654785,,
0,,199,0.9395833611488342,0.3403351902961731,,
0,,249,0.9367139935493469,0.22093716263771057,,
0,,299,0.9491310119628906,0.16459229588508606,,
0,,349,0.9456342458724976,0.18005682528018951,,
0,,399,0.9327433705329895,0.2132648527622223,,
0,,449,0.9471011161804199,0.16154541075229645,,
0,,499,0.9478296637535095,0.15424883365631104,,
0,,549,0.941285252571106,0.17033453285694122,,
0,,599,0.942148745059967,0.1896553784608841,,
0,,649,0.9457302689552307,0.17327415943145752,,
0,,699,0.9494513869285583,0.15883560478687286,,
0,,749,0.9518886804580688,0.1414209008216858,,
0,,753,,,0.9514108896255493,0.14141464233398438
,0.001,754,,,,
1,,799,0.9495357275009155,0.14620110392570496,,
1,,849,0.9415019750595093,0.14977329969406128,,
1,,899,0.9497678279876709,0.13633696734905243,,
1,,949,0.9581481218338013,0.17036154866218567,,
1,,999,0.9489595293998718,0.15257468819618225,,
1,,1049,0.9341816306114197,0.16325560212135315,,
1,,1099,0.9425382018089294,0.17608030140399933,,
1,,1149,0.9489666819572449,0.141590878367424,,
1,,1199,0.9469223618507385,0.16639679670333862,,
1,,1249,0.9382022619247437,0.1577218770980835,,
1,,1299,0.9514768123626709,0.13888207077980042,,
1,,1349,0.9423630833625793,0.1487904191017151,,
1,,1399,0.9457053542137146,0.15777088701725006,,
1,,1449,0.9440138339996338,0.1562163233757019,,
1,,1499,0.9526270627975464,0.13843698799610138,,
1,,1507,,,0.9502612352371216,0.1307505965232849
,0.001,1508,,,,
2,,1549,0.9520766735076904,0.14302608370780945,,
2,,1599,0.9380117058753967,0.17096805572509766,,
2,,1649,0.946976363658905,0.1432981640100479,,
2,,1699,0.9656462669372559,0.10820916295051575,,
2,,1749,0.9444897770881653,0.1476081758737564,,
2,,1799,0.9429898858070374,0.13208511471748352,,
2,,1849,0.9372178912162781,0.17458434402942657,,
2,,1899,0.9416873455047607,0.15371055901050568,,
2,,1949,0.9383476972579956,0.1522369533777237,,
2,,1999,0.9313149452209473,0.18677273392677307,,
2,,2049,0.9367303252220154,0.15211419761180878,,
2,,2099,0.9386551380157471,0.1567567139863968,,
2,,2149,0.9386738538742065,0.16391387581825256,,
2,,2199,0.9446688294410706,0.12783588469028473,,
2,,2249,0.945283830165863,0.13926328718662262,,
2,,2261,,,0.9407520294189453,0.15155917406082153
