epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
42,,3095,,,0.7351415157318115,0.44004786014556885
,0.001,3096,,,,
43,,3099,0.7324121594429016,0.45390981435775757,,
43,,3149,0.7362043261528015,0.4589102268218994,,
43,,3167,,,0.7352892160415649,0.44001758098602295
,0.001,3168,,,,
44,,3199,0.7334606051445007,0.4579017162322998,,
44,,3239,,,0.7351358532905579,0.4400075078010559
,0.001,3240,,,,
45,,3249,0.73221755027771,0.4205645024776459,,
45,,3299,0.7315000295639038,0.4530496895313263,,
45,,3311,,,0.7353233098983765,0.4399348497390747
,0.001,3312,,,,
46,,3349,0.7346803545951843,0.442199170589447,,
46,,3383,,,0.7352119088172913,0.43996307253837585
,0.001,3384,,,,
47,,3399,0.729426920413971,0.4140934646129608,,
47,,3449,0.7363598942756653,0.4533270597457886,,
47,,3455,,,0.7351700067520142,0.43996310234069824
,0.001,3456,,,,
48,,3499,0.7334455847740173,0.43783631920814514,,
48,,3527,,,0.7351849675178528,0.43997353315353394
,0.001,3528,,,,
49,,3549,0.7365821599960327,0.4601030647754669,,
49,,3599,0.7339443564414978,0.44324588775634766,,
49,,3599,,,0.7351875305175781,0.4399019479751587
